Key,English,Chinese,ChineseTraditional
name_item_22,Wooden equipment box,朴素装备箱,樸素裝備箱
name_item_23,Silver gear case,闪光装备箱,閃光裝備箱
name_item_24,Exquisite equipment case,精致装备箱,精緻裝備箱
name_item_25,Luxury equipment case,豪华装备箱,豪華裝備箱
name_item_26,Supreme gear box,至尊装备箱,至尊裝備箱
name_item_27,木质食材宝箱,木质食材宝箱,木質食材寶箱
name_item_28,银质食材宝箱,银质食材宝箱,銀質食材寶箱
name_item_29,精致食材宝箱,精致食材宝箱,精緻食材寶箱
name_item_30,豪华食材宝箱,豪华食材宝箱,豪華食材寶箱
name_item_101,wood,木材,木材
name_item_102,stone,石料,石料
name_item_103,herbs,草药,草藥
name_item_104,Animal skins,兽皮,獸皮
name_item_201,Yellow fujiki,黄藤木,黃藤木
name_item_202,sapphire,蓝宝石,藍寶石
name_item_203,FIG,无花果,無花果
name_item_204,Stone carving fishbone,石刻鱼骨,石刻魚骨
name_item_205,Wood elves,精灵木,精靈木
name_item_206,ruby,红宝石,紅寶石
name_item_207,Lucky grass,幸运草,幸運草
name_item_208,The phoenix feather,凤凰羽毛,鳳凰羽毛
name_item_209,Red blood wood,赤血木,赤血木
name_item_210,Green agate,绿玛瑙,綠瑪瑙
name_item_211,The ghost of grass,幽冥草,幽冥草
name_item_212,crocodile,鳄鱼皮,鱷魚皮
name_item_301,Large pieces of meat,大块肉,大塊肉
name_item_302,fish,海鱼,海魚
name_item_303,Wild vegetables,野菜,野菜
name_item_304,Rich packaging,丰厚调料包,豐厚調料包
name_item_1001,Plain mushroom kebabs,朴素蘑菇肉串,樸素蘑菇肉串
name_item_1002,Grilled mushroom kebabs,烤制蘑菇肉串,烤制蘑菇肉串
name_item_1003,Flame mushroom kebabs,火焰蘑菇肉串,火焰蘑菇肉串
name_item_1004,Luxury mushroom kebabs,豪华蘑菇肉串,豪華蘑菇肉串
name_item_1011,Plain honey soup,朴素蜜糖汤,樸素蜜糖湯
name_item_1012,Sweet honey soup,香甜蜜糖汤,香甜蜜糖湯
name_item_1013,Fragrant honey soup,清香蜜糖汤,清香蜜糖湯
name_item_1014,Luxury honey soup,豪华蜜糖汤,豪華蜜糖湯
name_item_1021,Plain lotus leaf fish,朴素荷叶鱼,樸素荷葉魚
name_item_1022,Delicious lotus leaf fish,可口荷叶鱼,可口荷葉魚
name_item_1023,Fragrant lotus leaf fish,清香荷叶鱼,清香荷葉魚
name_item_1024,Melody lotus leaf fish,旋律荷叶鱼,旋律荷葉魚
name_item_1031,Braised braised legs,乱炖焖腿烧,亂燉燜腿燒
name_item_1032,Soft and waxy braised leg,软糯焖腿烧,軟糯燜腿燒
name_item_1033,Delicate braised leg roast,精致焖腿烧,精緻燜腿燒
name_item_1034,Luxury braised leg roast,豪华焖腿烧,豪華燜腿燒
name_item_101010,石锤,石锤,石錘
name_item_101011,普通石锤,普通石锤,普通石錘
name_item_101012,<color=#38db38>优良石锤</color>,<color=#38db38>优良石锤</color>,<color=#38db38>優良石錘</color>
name_item_101013,<color=#289EE2>精炼石锤</color>,<color=#289EE2>精炼石锤</color>,<color=#289EE2>精煉石錘</color>
name_item_101014,<color=#C244F1>高级石锤</color>,<color=#C244F1>高级石锤</color>,<color=#C244F1>高級石錘</color>
name_item_101015,<color=#ED7534>顶级石锤</color>,<color=#ED7534>顶级石锤</color>,<color=#ED7534>頂級石錘</color>
name_item_101016,<color=#EE3535>绝品石锤</color>,<color=#EE3535>绝品石锤</color>,<color=#EE3535>絕品石錘</color>
name_item_101020,石斧,石斧,石斧
name_item_101021,普通石斧,普通石斧,普通石斧
name_item_101022,<color=#38db38>优良石斧</color>,<color=#38db38>优良石斧</color>,<color=#38db38>優良石斧</color>
name_item_101023,<color=#289EE2>精炼石斧</color>,<color=#289EE2>精炼石斧</color>,<color=#289EE2>精煉石斧</color>
name_item_101024,<color=#C244F1>高级石斧</color>,<color=#C244F1>高级石斧</color>,<color=#C244F1>高級石斧</color>
name_item_101025,<color=#ED7534>顶级石斧</color>,<color=#ED7534>顶级石斧</color>,<color=#ED7534>頂級石斧</color>
name_item_101026,<color=#EE3535>绝品石斧</color>,<color=#EE3535>绝品石斧</color>,<color=#EE3535>絕品石斧</color>
name_item_101030,石剑,石剑,石劍
name_item_101031,普通石剑,普通石剑,普通石劍
name_item_101032,<color=#38db38>优良石剑</color>,<color=#38db38>优良石剑</color>,<color=#38db38>優良石劍</color>
name_item_101033,<color=#289EE2>精炼石剑</color>,<color=#289EE2>精炼石剑</color>,<color=#289EE2>精煉石劍</color>
name_item_101034,<color=#C244F1>高级石剑</color>,<color=#C244F1>高级石剑</color>,<color=#C244F1>高級石劍</color>
name_item_101035,<color=#ED7534>顶级石剑</color>,<color=#ED7534>顶级石剑</color>,<color=#ED7534>頂級石劍</color>
name_item_101036,<color=#EE3535>绝品石剑</color>,<color=#EE3535>绝品石剑</color>,<color=#EE3535>絕品石劍</color>
name_item_101040,弹弓,弹弓,彈弓
name_item_101041,普通弹弓,普通弹弓,普通彈弓
name_item_101042,<color=#38db38>优良弹弓</color>,<color=#38db38>优良弹弓</color>,<color=#38db38>優良彈弓</color>
name_item_101043,<color=#289EE2>精炼弹弓</color>,<color=#289EE2>精炼弹弓</color>,<color=#289EE2>精煉彈弓</color>
name_item_101044,<color=#C244F1>高级弹弓</color>,<color=#C244F1>高级弹弓</color>,<color=#C244F1>高級彈弓</color>
name_item_101045,<color=#ED7534>顶级弹弓</color>,<color=#ED7534>顶级弹弓</color>,<color=#ED7534>頂級彈弓</color>
name_item_101046,<color=#EE3535>绝品弹弓</color>,<color=#EE3535>绝品弹弓</color>,<color=#EE3535>絕品彈弓</color>
name_item_101050,尖矛,尖矛,尖矛
name_item_101051,普通尖矛,普通尖矛,普通尖矛
name_item_101052,<color=#38db38>优良尖矛</color>,<color=#38db38>优良尖矛</color>,<color=#38db38>優良尖矛</color>
name_item_101053,<color=#289EE2>精炼尖矛</color>,<color=#289EE2>精炼尖矛</color>,<color=#289EE2>精煉尖矛</color>
name_item_101054,<color=#C244F1>高级尖矛</color>,<color=#C244F1>高级尖矛</color>,<color=#C244F1>高級尖矛</color>
name_item_101055,<color=#ED7534>顶级尖矛</color>,<color=#ED7534>顶级尖矛</color>,<color=#ED7534>頂級尖矛</color>
name_item_101056,<color=#EE3535>绝品尖矛</color>,<color=#EE3535>绝品尖矛</color>,<color=#EE3535>絕品尖矛</color>
name_item_101060,弓箭,弓箭,弓箭
name_item_101061,普通弓箭,普通弓箭,普通弓箭
name_item_101062,<color=#38db38>优良弓箭</color>,<color=#38db38>优良弓箭</color>,<color=#38db38>優良弓箭</color>
name_item_101063,<color=#289EE2>精炼弓箭</color>,<color=#289EE2>精炼弓箭</color>,<color=#289EE2>精煉弓箭</color>
name_item_101064,<color=#C244F1>高级弓箭</color>,<color=#C244F1>高级弓箭</color>,<color=#C244F1>高級弓箭</color>
name_item_101065,<color=#ED7534>顶级弓箭</color>,<color=#ED7534>顶级弓箭</color>,<color=#ED7534>頂級弓箭</color>
name_item_101066,<color=#EE3535>绝品弓箭</color>,<color=#EE3535>绝品弓箭</color>,<color=#EE3535>絕品弓箭</color>
name_item_101070,神木棒,神木棒,神木棒
name_item_101071,普通神木棒,普通神木棒,普通神木棒
name_item_101072,<color=#38db38>优良神木棒</color>,<color=#38db38>优良神木棒</color>,<color=#38db38>優良神木棒</color>
name_item_101073,<color=#289EE2>精炼神木棒</color>,<color=#289EE2>精炼神木棒</color>,<color=#289EE2>精煉神木棒</color>
name_item_101074,<color=#C244F1>高级神木棒</color>,<color=#C244F1>高级神木棒</color>,<color=#C244F1>高級神木棒</color>
name_item_101075,<color=#ED7534>顶级神木棒</color>,<color=#ED7534>顶级神木棒</color>,<color=#ED7534>頂級神木棒</color>
name_item_101076,<color=#EE3535>绝品神木棒</color>,<color=#EE3535>绝品神木棒</color>,<color=#EE3535>絕品神木棒</color>
name_item_101080,弯刀,弯刀,彎刀
name_item_101081,普通弯刀,普通弯刀,普通彎刀
name_item_101082,<color=#38db38>优良弯刀</color>,<color=#38db38>优良弯刀</color>,<color=#38db38>優良彎刀</color>
name_item_101083,<color=#289EE2>精炼弯刀</color>,<color=#289EE2>精炼弯刀</color>,<color=#289EE2>精煉彎刀</color>
name_item_101084,<color=#C244F1>高级弯刀</color>,<color=#C244F1>高级弯刀</color>,<color=#C244F1>高級彎刀</color>
name_item_101085,<color=#ED7534>顶级弯刀</color>,<color=#ED7534>顶级弯刀</color>,<color=#ED7534>頂級彎刀</color>
name_item_101086,<color=#EE3535>绝品弯刀</color>,<color=#EE3535>绝品弯刀</color>,<color=#EE3535>絕品彎刀</color>
name_item_101090,弩,弩,弩
name_item_101091,普通弩,普通弩,普通弩
name_item_101092,<color=#38db38>优良弩</color>,<color=#38db38>优良弩</color>,<color=#38db38>優良弩</color>
name_item_101093,<color=#289EE2>精炼弩</color>,<color=#289EE2>精炼弩</color>,<color=#289EE2>精煉弩</color>
name_item_101094,<color=#C244F1>高级弩</color>,<color=#C244F1>高级弩</color>,<color=#C244F1>高級弩</color>
name_item_101095,<color=#ED7534>顶级弩</color>,<color=#ED7534>顶级弩</color>,<color=#ED7534>頂級弩</color>
name_item_101096,<color=#EE3535>绝品弩</color>,<color=#EE3535>绝品弩</color>,<color=#EE3535>絕品弩</color>
name_item_101100,强弩,强弩,強弩
name_item_101101,普通强弩,普通强弩,普通強弩
name_item_101102,<color=#38db38>优良强弩</color>,<color=#38db38>优良强弩</color>,<color=#38db38>優良強弩</color>
name_item_101103,<color=#289EE2>精炼强弩</color>,<color=#289EE2>精炼强弩</color>,<color=#289EE2>精煉強弩</color>
name_item_101104,<color=#C244F1>高级强弩</color>,<color=#C244F1>高级强弩</color>,<color=#C244F1>高級強弩</color>
name_item_101105,<color=#ED7534>顶级强弩</color>,<color=#ED7534>顶级强弩</color>,<color=#ED7534>頂級強弩</color>
name_item_101106,<color=#EE3535>绝品强弩</color>,<color=#EE3535>绝品强弩</color>,<color=#EE3535>絕品強弩</color>
name_item_101110,弯月刀,弯月刀,彎月刀
name_item_101111,普通弯月刀,普通弯月刀,普通彎月刀
name_item_101112,<color=#38db38>优良弯月刀</color>,<color=#38db38>优良弯月刀</color>,<color=#38db38>優良彎月刀</color>
name_item_101113,<color=#289EE2>精炼弯月刀</color>,<color=#289EE2>精炼弯月刀</color>,<color=#289EE2>精煉彎月刀</color>
name_item_101114,<color=#C244F1>高级弯月刀</color>,<color=#C244F1>高级弯月刀</color>,<color=#C244F1>高級彎月刀</color>
name_item_101115,<color=#ED7534>顶级弯月刀</color>,<color=#ED7534>顶级弯月刀</color>,<color=#ED7534>頂級彎月刀</color>
name_item_101116,<color=#EE3535>绝品弯月刀</color>,<color=#EE3535>绝品弯月刀</color>,<color=#EE3535>絕品彎月刀</color>
name_item_201010,草帽,草帽,草帽
name_item_201011,普通草帽,普通草帽,普通草帽
name_item_201012,<color=#38db38>优良草帽</color>,<color=#38db38>优良草帽</color>,<color=#38db38>優良草帽</color>
name_item_201013,<color=#289EE2>精炼草帽</color>,<color=#289EE2>精炼草帽</color>,<color=#289EE2>精煉草帽</color>
name_item_201014,<color=#C244F1>高级草帽</color>,<color=#C244F1>高级草帽</color>,<color=#C244F1>高級草帽</color>
name_item_201015,<color=#ED7534>顶级草帽</color>,<color=#ED7534>顶级草帽</color>,<color=#ED7534>頂級草帽</color>
name_item_201016,<color=#EE3535>绝品草帽</color>,<color=#EE3535>绝品草帽</color>,<color=#EE3535>絕品草帽</color>
name_item_201020,骨帽,骨帽,骨帽
name_item_201021,普通骨帽,普通骨帽,普通骨帽
name_item_201022,<color=#38db38>优良骨帽</color>,<color=#38db38>优良骨帽</color>,<color=#38db38>優良骨帽</color>
name_item_201023,<color=#289EE2>精炼骨帽</color>,<color=#289EE2>精炼骨帽</color>,<color=#289EE2>精煉骨帽</color>
name_item_201024,<color=#C244F1>高级骨帽</color>,<color=#C244F1>高级骨帽</color>,<color=#C244F1>高級骨帽</color>
name_item_201025,<color=#ED7534>顶级骨帽</color>,<color=#ED7534>顶级骨帽</color>,<color=#ED7534>頂級骨帽</color>
name_item_201026,<color=#EE3535>绝品骨帽</color>,<color=#EE3535>绝品骨帽</color>,<color=#EE3535>絕品骨帽</color>
name_item_201030,兽帽,兽帽,獸帽
name_item_201031,普通兽帽,普通兽帽,普通獸帽
name_item_201032,<color=#38db38>优良兽帽</color>,<color=#38db38>优良兽帽</color>,<color=#38db38>優良獸帽</color>
name_item_201033,<color=#289EE2>精炼兽帽</color>,<color=#289EE2>精炼兽帽</color>,<color=#289EE2>精煉獸帽</color>
name_item_201034,<color=#C244F1>高级兽帽</color>,<color=#C244F1>高级兽帽</color>,<color=#C244F1>高級獸帽</color>
name_item_201035,<color=#ED7534>顶级兽帽</color>,<color=#ED7534>顶级兽帽</color>,<color=#ED7534>頂級獸帽</color>
name_item_201036,<color=#EE3535>绝品兽帽</color>,<color=#EE3535>绝品兽帽</color>,<color=#EE3535>絕品獸帽</color>
name_item_201040,牛皮帽,牛皮帽,牛皮帽
name_item_201041,普通牛皮帽,普通牛皮帽,普通牛皮帽
name_item_201042,<color=#38db38>优良牛皮帽</color>,<color=#38db38>优良牛皮帽</color>,<color=#38db38>優良牛皮帽</color>
name_item_201043,<color=#289EE2>精炼牛皮帽</color>,<color=#289EE2>精炼牛皮帽</color>,<color=#289EE2>精煉牛皮帽</color>
name_item_201044,<color=#C244F1>高级牛皮帽</color>,<color=#C244F1>高级牛皮帽</color>,<color=#C244F1>高級牛皮帽</color>
name_item_201045,<color=#ED7534>顶级牛皮帽</color>,<color=#ED7534>顶级牛皮帽</color>,<color=#ED7534>頂級牛皮帽</color>
name_item_201046,<color=#EE3535>绝品牛皮帽</color>,<color=#EE3535>绝品牛皮帽</color>,<color=#EE3535>絕品牛皮帽</color>
name_item_201050,羽帽,羽帽,羽帽
name_item_201051,普通羽帽,普通羽帽,普通羽帽
name_item_201052,<color=#38db38>优良羽帽</color>,<color=#38db38>优良羽帽</color>,<color=#38db38>優良羽帽</color>
name_item_201053,<color=#289EE2>精炼羽帽</color>,<color=#289EE2>精炼羽帽</color>,<color=#289EE2>精煉羽帽</color>
name_item_201054,<color=#C244F1>高级羽帽</color>,<color=#C244F1>高级羽帽</color>,<color=#C244F1>高級羽帽</color>
name_item_201055,<color=#ED7534>顶级羽帽</color>,<color=#ED7534>顶级羽帽</color>,<color=#ED7534>頂級羽帽</color>
name_item_201056,<color=#EE3535>绝品羽帽</color>,<color=#EE3535>绝品羽帽</color>,<color=#EE3535>絕品羽帽</color>
name_item_201060,蓝宝石头盔,蓝宝石头盔,藍寶石頭盔
name_item_201061,普通蓝宝石头盔,普通蓝宝石头盔,普通藍寶石頭盔
name_item_201062,<color=#38db38>优良蓝宝石头盔</color>,<color=#38db38>优良蓝宝石头盔</color>,<color=#38db38>優良藍寶石頭盔</color>
name_item_201063,<color=#289EE2>精炼蓝宝石头盔</color>,<color=#289EE2>精炼蓝宝石头盔</color>,<color=#289EE2>精煉藍寶石頭盔</color>
name_item_201064,<color=#C244F1>高级蓝宝石头盔</color>,<color=#C244F1>高级蓝宝石头盔</color>,<color=#C244F1>高級藍寶石頭盔</color>
name_item_201065,<color=#ED7534>顶级蓝宝石头盔</color>,<color=#ED7534>顶级蓝宝石头盔</color>,<color=#ED7534>頂級藍寶石頭盔</color>
name_item_201066,<color=#EE3535>绝品蓝宝石头盔</color>,<color=#EE3535>绝品蓝宝石头盔</color>,<color=#EE3535>絕品藍寶石頭盔</color>
name_item_201070,骷髅帽,骷髅帽,骷髏帽
name_item_201071,普通骷髅帽,普通骷髅帽,普通骷髏帽
name_item_201072,<color=#38db38>优良骷髅帽</color>,<color=#38db38>优良骷髅帽</color>,<color=#38db38>優良骷髏帽</color>
name_item_201073,<color=#289EE2>精炼骷髅帽</color>,<color=#289EE2>精炼骷髅帽</color>,<color=#289EE2>精煉骷髏帽</color>
name_item_201074,<color=#C244F1>高级骷髅帽</color>,<color=#C244F1>高级骷髅帽</color>,<color=#C244F1>高級骷髏帽</color>
name_item_201075,<color=#ED7534>顶级骷髅帽</color>,<color=#ED7534>顶级骷髅帽</color>,<color=#ED7534>頂級骷髏帽</color>
name_item_201076,<color=#EE3535>绝品骷髅帽</color>,<color=#EE3535>绝品骷髅帽</color>,<color=#EE3535>絕品骷髏帽</color>
name_item_201080,羽毛帽,羽毛帽,羽毛帽
name_item_201081,普通羽毛帽,普通羽毛帽,普通羽毛帽
name_item_201082,<color=#38db38>优良羽毛帽</color>,<color=#38db38>优良羽毛帽</color>,<color=#38db38>優良羽毛帽</color>
name_item_201083,<color=#289EE2>精炼羽毛帽</color>,<color=#289EE2>精炼羽毛帽</color>,<color=#289EE2>精煉羽毛帽</color>
name_item_201084,<color=#C244F1>高级羽毛帽</color>,<color=#C244F1>高级羽毛帽</color>,<color=#C244F1>高級羽毛帽</color>
name_item_201085,<color=#ED7534>顶级羽毛帽</color>,<color=#ED7534>顶级羽毛帽</color>,<color=#ED7534>頂級羽毛帽</color>
name_item_201086,<color=#EE3535>绝品羽毛帽</color>,<color=#EE3535>绝品羽毛帽</color>,<color=#EE3535>絕品羽毛帽</color>
name_item_201090,牛角帽,牛角帽,牛角帽
name_item_201091,普通牛角帽,普通牛角帽,普通牛角帽
name_item_201092,<color=#38db38>优良牛角帽</color>,<color=#38db38>优良牛角帽</color>,<color=#38db38>優良牛角帽</color>
name_item_201093,<color=#289EE2>精炼牛角帽</color>,<color=#289EE2>精炼牛角帽</color>,<color=#289EE2>精煉牛角帽</color>
